Zip,County,Rate
43747,Monroe,0.07
43748,Perry,0.07
43749,Coshocton,0.07
43749,Guernsey,0.07
43749,Tuscarawas,0.065
43750,Guernsey,0.07
43752,Monroe,0.07
43754,Monroe,0.07
43755,Guernsey,0.07
43756,Morgan,0.07
43756,Muskingum,0.07
43757,Monroe,0.07
43758,Morgan,0.07
43759,Belmont,0.07
43760,Licking,0.07
43760,Muskingum,0.07
43760,Perry,0.07
43761,Perry,0.07
43762,Guernsey,0.07
43762,Muskingum,0.07
43764,Perry,0.07
43766,Hocking,0.0675
43766,Perry,0.07
43767,Muskingum,0.07
43768,Guernsey,0.07
43771,Muskingum,0.07
43772,Guernsey,0.07
43772,Noble,0.07
43773,Belmont,0.07
43773,Guernsey,0.07
43773,Monroe,0.07
43773,Noble,0.07
43777,Morgan,0.07
43777,Muskingum,0.07
43777,Perry,0.07
43778,Guernsey,0.07
43779,Noble,0.07
43780,Guernsey,0.07
43780,Noble,0.07
43782,Perry,0.07
43783,Perry,0.07
43786,Monroe,0.07
43787,Morgan,0.07
43787,Washington,0.07
43788,Monroe,0.07
43788,Noble,0.07
43789,Monroe,0.07
43791,Muskingum,0.07
43793,Monroe,0.07
43802,Muskingum,0.07
43803,Coshocton,0.07
43804,Coshocton,0.07
43804,Holmes,0.065
43804,Tuscarawas,0.065
43805,Coshocton,0.07
43811,Coshocton,0.07
43812,Coshocton,0.07
43821,Coshocton,0.07
43821,Muskingum,0.07
43822,Coshocton,0.07
43822,Knox,0.065
43822,Licking,0.07
43822,Muskingum,0.07
43824,Coshocton,0.07
43824,Tuscarawas,0.065
43828,Coshocton,0.07
43830,Licking,0.07
43830,Muskingum,0.07
43832,Coshocton,0.07
43832,Guernsey,0.07
43832,Tuscarawas,0.065
43836,Coshocton,0.07
43837,Guernsey,0.07
43837,Tuscarawas,0.065
43840,Coshocton,0.07
43840,Tuscarawas,0.065
43842,Muskingum,0.07
43843,Coshocton,0.07
43843,Knox,0.065
43844,Coshocton,0.07
43844,Knox,0.065
43845,Coshocton,0.07
43901,Belmont,0.07
43901,Harrison,0.07
43901,Jefferson,0.07
43902,Belmont,0.07
43903,Carroll,0.065
43903,Jefferson,0.07
43905,Belmont,0.07
43906,Belmont,0.07
43907,Harrison,0.07
43907,Jefferson,0.07
43908,Carroll,0.065
43908,Jefferson,0.07
43909,Belmont,0.07
43910,Harrison,0.07
43910,Jefferson,0.07
43912,Belmont,0.07
43913,Jefferson,0.07
43914,Monroe,0.07
43915,Monroe,0.07
43916,Belmont,0.07
43917,Belmont,0.07
43917,Jefferson,0.07
43920,Columbiana,0.07
43925,Jefferson,0.07
43926,Jefferson,0.07
43927,Belmont,0.07
43928,Belmont,0.07
43930,Columbiana,0.07
43930,Jefferson,0.07
43931,Monroe,0.07
43932,Jefferson,0.07
43933,Belmont,0.07
43934,Belmont,0.07
43935,Belmont,0.07
43937,Belmont,0.07
43938,Jefferson,0.07
43939,Jefferson,0.07
43940,Belmont,0.07
43941,Jefferson,0.07
43942,Belmont,0.07
43942,Monroe,0.07
43943,Belmont,0.07
43943,Jefferson,0.07
43944,Jefferson,0.07
43945,Carroll,0.065
43945,Columbiana,0.07
43945,Jefferson,0.07
43946,Monroe,0.07
43947,Belmont,0.07
43948,Jefferson,0.07
43950,Belmont,0.07
43950,Harrison,0.07
43951,Belmont,0.07
43952,Jefferson,0.07
43953,Jefferson,0.07
43961,Jefferson,0.07
43962,Columbiana,0.07
43963,Jefferson,0.07
43964,Jefferson,0.07
43967,Belmont,0.07
43968,Columbiana,0.07
43970,Jefferson,0.07
43971,Belmont,0.07
43971,Jefferson,0.07
43972,Belmont,0.07
43973,Belmont,0.07
43973,Guernsey,0.07
43973,Harrison,0.07
43973,Tuscarawas,0.065
43974,Harrison,0.07
43976,Harrison,0.07
43977,Belmont,0.07
43977,Harrison,0.07
43981,Harrison,0.07
43983,Belmont,0.07
43983,Guernsey,0.07
43983,Harrison,0.07
43984,Harrison,0.07
43985,Belmont,0.07
43986,Carroll,0.065
43986,Harrison,0.07
43988,Carroll,0.065
43988,Harrison,0.07
44001,Lorain,0.0625
44003,Ashtabula,0.065
44004,Ashtabula,0.065
44005,Ashtabula,0.065
44010,Ashtabula,0.065
44011,Lorain,0.0625
44012,Lorain,0.0625
44017,Cuyahoga,0.0775
44021,Geauga,0.065
44022,Cuyahoga,0.0775
44022,Geauga,0.065
44023,Cuyahoga,0.0775
44023,Geauga,0.065
44024,Geauga,0.065
44024,Lake,0.0625
44026,Cuyahoga,0.0775
44026,Geauga,0.065
44026,Lake,0.0625
44028,Lorain,0.0625
44028,Medina,0.065
44030,Ashtabula,0.065
44032,Ashtabula,0.065
44033,Geauga,0.065
44035,Lorain,0.0625
44036,Lorain,0.0625
44039,Lorain,0.0625
44040,Cuyahoga,0.0775
44040,Geauga,0.065
44041,Ashtabula,0.065
44041,Lake,0.0625
44044,Lorain,0.0625
44045,Lake,0.0625
44046,Ashtabula,0.065
44046,Geauga,0.065
44047,Ashtabula,0.065
44048,Ashtabula,0.065
44049,Lorain,0.0625
44050,Lorain,0.0625
44052,Lorain,0.0625
44053,Lorain,0.0625
44054,Lorain,0.0625
44055,Lorain,0.0625
44056,Summit,0.065
44057,Ashtabula,0.065
44057,Geauga,0.065
44057,Lake,0.0625
44060,Geauga,0.065
44060,Lake,0.0625
44061,Lake,0.0625
44062,Ashtabula,0.065
44062,Geauga,0.065
44062,Trumbull,0.065
44064,Ashtabula,0.065
44064,Geauga,0.065
44065,Geauga,0.065
44067,Summit,0.065
44068,Ashtabula,0.065
44070,Cuyahoga,0.0775
44072,Geauga,0.065
44073,Geauga,0.065
44074,Lorain,0.0625
44076,Ashtabula,0.065
44076,Trumbull,0.065
44077,Geauga,0.065
44077,Lake,0.0625
44080,Geauga,0.065
44081,Lake,0.0625
44082,Ashtabula,0.065
44084,Ashtabula,0.065
44085,Ashtabula,0.065
44086,Ashtabula,0.065
44086,Geauga,0.065
44086,Lake,0.0625
44087,Summit,0.065
44088,Ashtabula,0.065
44089,Erie,0.065
44089,Lorain,0.0625
44090,Lorain,0.0625
44090,Medina,0.065
44092,Cuyahoga,0.0775
44092,Lake,0.0625
44093,Ashtabula,0.065
44093,Trumbull,0.065
44094,Lake,0.0625
44095,Lake,0.0625
44096,Lake,0.0625
44097,Lake,0.0625
44099,Ashtabula,0.065
44099,Geauga,0.065
44101,Cuyahoga,0.0775
44102,Cuyahoga,0.0775
44103,Cuyahoga,0.0775
44104,Cuyahoga,0.0775
44105,Cuyahoga,0.0775
44106,Cuyahoga,0.0775
44107,Cuyahoga,0.0775
44108,Cuyahoga,0.0775
44109,Cuyahoga,0.0775
44110,Cuyahoga,0.0775
44111,Cuyahoga,0.0775
44112,Cuyahoga,0.0775
44113,Cuyahoga,0.0775
44114,Cuyahoga,0.0775
44115,Cuyahoga,0.0775
44116,Cuyahoga,0.0775
44117,Cuyahoga,0.0775
44118,Cuyahoga,0.0775
44119,Cuyahoga,0.0775
44120,Cuyahoga,0.0775
44121,Cuyahoga,0.0775
44122,Cuyahoga,0.0775
44123,Cuyahoga,0.0775
44124,Cuyahoga,0.0775
44125,Cuyahoga,0.0775
44126,Cuyahoga,0.0775
44127,Cuyahoga,0.0775
44128,Cuyahoga,0.0775
44129,Cuyahoga,0.0775
44130,Cuyahoga,0.0775
44131,Cuyahoga,0.0775
44132,Cuyahoga,0.0775
44132,Lake,0.0625
44133,Cuyahoga,0.0775
44134,Cuyahoga,0.0775
44135,Cuyahoga,0.0775
44136,Cuyahoga,0.0775
44137,Cuyahoga,0.0775
44138,Cuyahoga,0.0775
44139,Cuyahoga,0.0775
44140,Cuyahoga,0.0775
44141,Cuyahoga,0.0775
44141,Summit,0.065
44142,Cuyahoga,0.0775
44143,Cuyahoga,0.0775
44144,Cuyahoga,0.0775
44145,Cuyahoga,0.0775
44146,Cuyahoga,0.0775
44147,Cuyahoga,0.0775
44149,Cuyahoga,0.0775
44181,Cuyahoga,0.0775
44188,Cuyahoga,0.0775
44190,Cuyahoga,0.0775
44191,Cuyahoga,0.0775
44192,Cuyahoga,0.0775
44193,Cuyahoga,0.0775
44194,Cuyahoga,0.0775
44195,Cuyahoga,0.0775
44198,Cuyahoga,0.0775
44199,Cuyahoga,0.0775
44201,Portage,0.0675
44202,Cuyahoga,0.0775
44202,Geauga,0.065
44202,Portage,0.0675
44202,Summit,0.065
44203,Medina,0.065
44203,Summit,0.065
44203,Wayne,0.0625
44210,Summit,0.065
44211,Portage,0.0675
44212,Medina,0.065
44214,Medina,0.065
44214,Wayne,0.0625
44215,Medina,0.065
44216,Summit,0.065
44216,Wayne,0.0625
44217,Medina,0.065
44217,Wayne,0.0625
44221,Summit,0.065
44222,Summit,0.065
44223,Summit,0.065
44224,Portage,0.0675
44224,Summit,0.065
44230,Medina,0.065
44230,Summit,0.065
44230,Wayne,0.0625
44231,Geauga,0.065
44231,Portage,0.0675
